Year,Publication Type,Title,Authors
2017,Poster,Variational Lossy Autoencoder.,Xi Chen; Diederik P. Kingma; Tim Salimans; Yan Duan; Prafulla Dhariwal; John Schulman; Ilya Sutskever; Pieter Abbeel
2017,Poster,Fine-grained Analysis of Sentence Embeddings Using Auxiliary Prediction Tasks.,Yossi Adi; Einat Kermany; Yonatan Belinkov; Ofer Lavi; Yoav Goldberg
2017,Poster,Deep Variational Information Bottleneck.,Alexander A. Alemi; Ian Fischer; Joshua V. Dillon; Kevin Murphy
2017,Poster,Tree-structured decoding with doubly-recurrent neural networks.,David Alvarez-Melis; Tommi S. Jaakkola
2017,Poster,Sparsely-Connected Neural Networks - Towards Efficient VLSI Implementation of Deep Neural Networks.,Arash Ardakani; Carlo Condo; Warren J. Gross
2017,Oral,Towards Principled Methods for Training Generative Adversarial Networks.,Martín Arjovsky; Léon Bottou
2017,Poster,A Simple but Tough-to-Beat Baseline for Sentence Embeddings.,Sanjeev Arora; Yingyu Liang; Tengyu Ma
2017,Poster,Distributed Second-Order Optimization using Kronecker-Factored Approximations.,Jimmy Ba; Roger Grosse; James Martens
2017,Poster,Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU.,Mohammad Babaeizadeh; Iuri Frosio; Stephen Tyree; Jason Clemons; Jan Kautz
2017,Poster,An Actor-Critic Algorithm for Sequence Prediction.,Dzmitry Bahdanau; Philemon Brakel; Kelvin Xu; Anirudh Goyal; Ryan Lowe; Joelle Pineau; Aaron C. Courville; Yoshua Bengio
2017,Poster,Predicting Medications from Diagnostic Codes with Recurrent Neural Networks.,Jacek M. Bajor; Thomas A. Lasko
2017,Poster,Designing Neural Network Architectures using Reinforcement Learning.,Bowen Baker; Otkrist Gupta; Nikhil Naik; Ramesh Raskar
2017,Oral,End-to-end Optimized Image Compression.,Johannes Ballé; Valero Laparra; Eero P. Simoncelli
2017,Poster,DeepCoder - Learning to Write Programs.,Matej Balog; Alexander L. Gaunt; Marc Brockschmidt; Sebastian Nowozin; Daniel Tarlow
2017,Poster,Optimal Binary Autoencoding with Pairwise Correlations.,Akshay Balsubramani
2017,Poster,Efficient Representation of Low-Dimensional Manifolds using Deep Networks.,Ronen Basri; David W. Jacobs
2017,Poster,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses.,Eleanor Batty; Josh Merel; Nora Brackbill; Alexander Heitman; Alexander Sher; Alan M. Litke; E. J. Chichilnisky; Liam Paninski
2017,Poster,Recurrent Mixture Density Network for Spatiotemporal Visual Attention.,Loris Bazzani; Hugo Larochelle; Lorenzo Torresani
2017,Poster,Incorporating long-range consistency in CNN-based texture generation.,Guillaume Berger; Roland Memisevic
2017,Poster,Trusting SVM for Piecewise Linear CNNs.,Leonard Berrada; Andrew Zisserman; M. Pawan Kumar
2017,Poster,Program Synthesis for Character Level Language Modeling.,Pavol Bielik; Veselin Raychev; Martin T. Vechev
2017,Oral,Learning End-to-End Goal-Oriented Dialog.,Antoine Bordes; Y.-Lan Boureau; Jason Weston
2017,Poster,Learning to Generate Samples from Noise through Infusion Training.,Florian Bordes; Sina Honari; Pascal Vincent
2017,Poster,Neural Photo Editing with Introspective Adversarial Networks.,Andrew Brock; Theodore Lim; James M. Ritchie; Nick Weston
2017,Poster,Learning to superoptimize programs.,Rudy Bunel; Alban Desmaison; M. Pawan Kumar; Philip H. S. Torr; Pushmeet Kohli
2017,Oral,Making Neural Programming Architectures Generalize via Recursion.,Jonathon Cai; Richard Shin; Dawn Song
2017,Poster,Latent Sequence Decompositions.,William Chan; Yu Zhang; Quoc V. Le; Navdeep Jaitly
2017,Poster,Entropy-SGD - Biasing Gradient Descent Into Wide Valleys.,Pratik Chaudhari; Anna Choromanska; Stefano Soatto; Yann LeCun; Carlo Baldassi; Christian Borgs; Jennifer T. Chayes; Levent Sagun; Riccardo Zecchina
2017,Poster,Mode Regularized Generative Adversarial Networks.,Tong Che; Yanran Li; Athul Paul Jacob; Yoshua Bengio; Wenjie Li
2017,Poster,Efficient Vector Representation for Documents through Corruption.,Minmin Chen
2017,Poster,Emergence of foveal image sampling from learning to attend in visual scenes.,Brian Cheung; Eric Weiss; Bruno A. Olshausen
2017,Poster,Recurrent Environment Simulators.,Silvia Chiappa; Sébastien Racanière; Daan Wierstra; Shakir Mohamed
2017,Poster,Towards the Limit of Network Quantization.,Yoojin Choi; Mostafa El-Khamy; Jungwon Lee
2017,Poster,Hierarchical Multiscale Recurrent Neural Networks.,Junyoung Chung; Sungjin Ahn; Yoshua Bengio
2017,Poster,Inductive Bias of Deep Convolutional Networks through Pooling Geometry.,Nadav Cohen; Amnon Shashua
2017,Poster,Steerable CNNs.,Taco S. Cohen; Max Welling
2017,Poster,Capacity and Trainability in Recurrent Neural Networks.,Jasmine Collins; Jascha Sohl-Dickstein; David Sussillo
2017,Poster,Recurrent Batch Normalization.,Tim Cooijmans; Nicolas Ballas; César Laurent; Çaglar Gülçehre; Aaron C. Courville
2017,Poster,Calibrating Energy-based Generative Adversarial Networks.,Zihang Dai; Amjad Almahairi; Philip Bachman; Eduard H. Hovy; Aaron C. Courville
2017,Poster,Recurrent Hidden Semi-Markov Model.,Hanjun Dai; Bo Dai; Yan-Ming Zhang; Shuang Li; Le Song
